Job name: 2010154c2cop
Collection date: 20/10/2015
Job type: NORMAL

#inJob;ID;FatB(T);Prot(T);Cas.B;Lact(T);SnF(T);pH;FPD;Urea;Cells;ZValue;Cond.;H.Index;#Sub;Remark;Type;SubType

1;1234567890;1.07;3.05;2.47;4.84;8.56;6.50;542;47.9;6;0.00;1038.2;0.63;1;;NORMAL;VALUE
2;1234567891;2.57;4.00;3.10;4.63;9.31;6.48;549;25.6;114;2.52;1038.9;0.71;1;;NORMAL;VALUE
3;1234567892;3.84;3.24;2.59;4.83;8.75;6.53;547;26.8;36;0.00;970.4;0.69;1;Read Error / Sample ID manually corrected.;NORMAL;VALUE
4;1234567893;5.11;4.25;3.34;4.59;9.45;6.50;552;37.1;22;0.00;948.7;0.66;1;;NORMAL;VALUE
5;1234567894;2.52;3.42;2.75;4.92;9.02;6.47;559;41.5;15;0.00;990.8;0.60;1;;NORMAL;VALUE
6;1234567895;3.91;3.25;2.55;4.54;8.41;6.56;536;30.0;1797;3.01;1031.1;0.77;1;;NORMAL;VALUE
7;1234567896;0.58;3.28;2.60;4.64;8.56;6.47;546;38.6;24;0.00;1163.4;0.68;1;;NORMAL;VALUE
8;1234567897;7.12;4.64;3.69;4.40;9.71;6.48;563;53.2;*****;;922.4;0.69;1;Read Error / FMFC-013-047 DC-value out of limit / Sample ID manually corrected.;NORMAL;VALUE
9;1234567898;2.86;3.20;2.62;4.92;8.74;6.58;545;40.0;22;0.00;950.5;0.62;1;;NORMAL;VALUE
10;1234567899;4.53;3.34;2.63;4.54;8.48;6.64;548;45.5;28;0.00;1042.5;0.73;1;;NORMAL;VALUE
11;1234567900;3.27;3.51;2.73;4.46;8.69;6.48;540;43.9;12;0.00;1015.3;0.72;1;;NORMAL;VALUE
12;1234567901;3.89;4.42;3.41;4.47;9.51;6.44;551;41.8;*****;;1010.2;0.65;1;FMFC-013-047 DC-value out of limit;NORMAL;VALUE
13;1234567902;3.59;3.43;2.69;4.61;8.72;6.57;543;38.4;12;0.00;1000.5;0.70;1;;NORMAL;VALUE
14;1234567903;2.30;2.92;2.33;4.64;8.22;6.55;537;47.1;6;0.00;1049.7;0.70;1;Read Error / Sample ID manually corrected.;NORMAL;VALUE
15;1234567904;6.07;3.98;2.98;3.74;8.37;6.44;528;33.7;*****;;1205.4;0.96;1;FMFC-013-047 DC-value out of limit;NORMAL;VALUE
16;1234567905;2.39;2.83;2.29;4.63;8.18;6.43;540;42.4;46;2.80;1071.0;0.72;1;Read Error / Sample ID manually corrected.;NORMAL;VALUE
17;1234567907;1.48;3.39;2.51;4.01;7.90;6.61;528;28.8;81;3.95;1360.4;0.86;1;;NORMAL;VALUE
18;1234567908;7.05;2.87;2.36;4.49;8.07;6.44;541;35.9;545;2.52;960.3;0.84;1;Read Error / Sample ID manually corrected.;NORMAL;VALUE
19;1234567909;10.16;4.45;3.63;4.40;9.50;6.44;565;26.2;*****;;868.4;0.74;1;FMFC-013-047 DC-value out of limit;NORMAL;VALUE
20;;;;;;;;;;;;;;1;Sample could not be measured due to sample handling problem. / Sample ID manually corrected.;NORMAL;VALUE
