Job name: 2109151c3cop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collection date: 21/09/2015
Job type: NORMAL

#inJob;ID;Fat;Prot(T);Lactose;SnF;pH;Urea;Cells;Cond.;H.Index;#inWS;#inR;Temp;Vol.Tot;Vol.Avail;FatB(T);Cru.Prot;Lact(T);SnF(T);TS(T);FatAB(T);Tru.Prot;TS;Remark;#Sub;Time;Date;Remark;Type;SubType

1;8901038814;2.33;3.62;4.11;8.62;6.49;31.5;2158;1124.0;0.78;338;1;38.92;58.31;53.59;2.45;3.62;4.09;8.61;10.83;2.35;3.35;11.09;;1;11:57:50;21/09/2015;;NORMAL;VALUE
2;8901038815;2.70;3.20;4.22;8.19;6.45;20.5;539;1063.3;0.81;339;2;40.55;57.58;52.86;2.78;3.21;4.17;8.27;10.92;2.73;2.92;11.00;;1;11:58:00;21/09/2015;;NORMAL;VALUE
3;8901038816;2.62;3.06;4.49;8.27;6.40;21.5;178;1089.9;0.83;340;3;40.61;60.67;55.95;2.70;3.09;4.40;8.38;10.86;2.64;2.83;11.04;;1;11:58:10;21/09/2015;;NORMAL;VALUE
4;8901038817;1.52;3.00;4.68;8.53;6.50;21.3;190;1016.0;0.65;341;4;41.27;57.58;52.86;1.65;3.00;4.65;8.58;9.92;1.60;2.75;10.18;;1;11:58:19;21/09/2015;;NORMAL;VALUE
5;8901038818;2.88;3.60;4.57;9.04;6.53;19.2;267;985.2;0.62;342;5;41.11;59.58;54.86;2.93;3.62;4.59;9.08;11.81;2.89;3.36;12.02;;1;11:58:29;21/09/2015;;NORMAL;VALUE
6;8901038819;3.63;3.73;3.54;8.14;6.37;20.8;3300;1297.7;0.90;343;6;41.28;54.13;49.41;3.69;3.71;3.47;8.18;11.83;3.59;3.42;11.86;;1;11:58:39;21/09/2015;;NORMAL;VALUE
7;8901038820;2.10;3.33;3.98;8.00;5.38;0.0;670;1405.9;0.81;344;7;40.14;58.85;54.13;2.23;3.49;4.02;8.28;10.17;2.13;3.12;10.57;;1;11:58:49;21/09/2015;;NORMAL;VALUE
8;8901038821;3.29;3.23;4.56;8.70;6.33;18.1;326;954.7;0.66;345;8;40.94;56.13;51.41;3.36;3.22;4.54;8.73;11.79;3.27;2.92;12.09;;1;11:58:58;21/09/2015;;NORMAL;VALUE
9;8901038822;4.64;3.97;4.23;8.93;6.32;12.4;123;1087.4;0.77;346;9;40.63;49.23;44.50;4.62;4.03;4.20;9.08;13.46;4.49;3.75;13.78;;1;11:59:08;21/09/2015;;NORMAL;VALUE
10;8901038823;3.45;3.09;4.53;8.40;6.47;11.6;201;996.8;0.67;347;10;40.72;58.49;53.77;3.51;3.13;4.52;8.50;11.80;3.41;2.86;12.01;;1;11:59:18;21/09/2015;;NORMAL;VALUE
11;8901038824;2.71;3.05;4.75;8.65;6.55;15.2;198;949.1;0.65;348;1;40.12;61.21;56.49;2.77;3.09;4.75;8.70;11.25;2.74;2.81;11.45;;1;11:59:28;21/09/2015;;NORMAL;VALUE
12;8901038825;2.64;2.92;4.69;8.42;6.61;11.5;38;998.6;0.68;349;2;40.15;57.04;52.31;2.69;2.95;4.71;8.46;10.99;2.68;2.70;11.14;;1;11:59:37;21/09/2015;;NORMAL;VALUE
13;8901038826;1.08;2.84;4.48;8.14;6.54;18.1;731;1112.8;0.72;350;3;40.82;58.67;53.95;1.21;2.85;4.44;8.16;9.16;1.19;2.59;9.36;;1;11:59:47;21/09/2015;;NORMAL;VALUE
14;8901038827;4.44;3.66;4.58;9.11;6.41;10.6;269;893.2;0.66;351;4;40.78;59.40;54.68;4.42;3.68;4.58;9.21;13.37;4.33;3.41;13.66;;1;11:59:57;21/09/2015;;NORMAL;VALUE
15;8901038828;3.26;3.21;4.56;8.61;6.45;17.8;373;1007.4;0.69;352;5;40.74;57.40;52.68;3.31;3.22;4.53;8.71;11.81;3.25;2.97;11.97;;1;12:00:06;21/09/2015;;NORMAL;VALUE
16;8901038829;2.99;3.25;4.56;8.64;6.52;15.5;969;1019.7;0.69;353;6;40.80;59.76;55.04;3.04;3.28;4.55;8.73;11.59;3.00;3.02;11.73;;1;12:00:16;21/09/2015;;NORMAL;VALUE
17;8901038830;2.94;2.85;4.48;8.12;6.12;0.0;129;1146.8;0.72;354;7;40.32;58.49;53.77;3.01;2.91;4.50;8.24;11.05;2.93;2.62;11.26;;1;12:00:26;21/09/2015;;NORMAL;VALUE
18;8901038831;2.93;3.01;4.41;8.28;6.21;16.1;1759;1138.6;0.69;355;8;40.62;56.86;52.13;3.01;3.04;4.40;8.37;11.13;2.93;2.75;11.37;;1;12:00:36;21/09/2015;;NORMAL;VALUE
19;8901038832;3.94;3.38;4.62;8.83;6.48;17.8;729;908.7;0.63;356;9;40.42;54.13;49.41;3.96;3.42;4.63;8.93;12.66;3.87;3.15;12.90;;1;12:00:45;21/09/2015;;NORMAL;VALUE
20;8901038833;3.65;3.64;4.52;9.02;6.47;19.1;80;918.1;0.65;357;10;40.25;60.49;55.77;3.66;3.70;4.54;9.08;12.52;3.60;3.41;12.80;;1;12:00:55;21/09/2015;;NORMAL;VALUE
21;8901038834;2.93;2.81;4.50;8.13;6.46;13.0;186;1063.2;0.76;358;1;38.63;62.85;58.13;3.01;2.80;4.45;8.19;11.02;2.94;2.54;11.13;;1;12:01:05;21/09/2015;;NORMAL;VALUE
22;8901038835;3.05;2.80;4.75;8.39;6.64;25.6;487;987.8;0.63;359;2;38.74;60.49;55.77;3.14;2.82;4.71;8.40;11.27;3.05;2.53;11.48;;1;12:01:15;21/09/2015;;NORMAL;VALUE
23;8901038836;4.02;3.47;4.43;8.71;6.49;16.8;1107;1002.2;0.71;360;3;38.72;61.94;57.22;4.01;3.52;4.44;8.79;12.64;3.95;3.23;12.85;;1;12:01:24;21/09/2015;;NORMAL;VALUE
24;8901038837;4.17;3.48;4.41;8.71;6.48;15.3;1163;998.5;0.69;361;4;38.72;59.40;54.68;4.15;3.53;4.43;8.78;12.80;4.09;3.24;12.99;;1;12:01:34;21/09/2015;;NORMAL;VALUE
25;8901038803;2.60;3.28;4.52;8.63;6.41;11.6;126;989.5;0.65;362;5;39.00;56.67;51.95;2.68;3.32;4.51;8.68;11.15;2.62;3.04;11.36;;1;12:01:44;21/09/2015;;NORMAL;VALUE
26;8901038804;1.46;3.02;4.64;8.56;6.52;23.8;43;1026.3;0.61;363;6;39.44;58.31;53.59;1.58;3.04;4.66;8.50;9.82;1.55;2.77;10.14;;1;12:01:54;21/09/2015;;NORMAL;VALUE
27;8901038805;2.34;3.39;4.98;9.18;6.53;21.2;27;875.3;0.57;364;7;39.26;58.13;53.40;2.43;3.43;4.95;9.28;11.36;2.38;3.18;11.66;;1;12:02:03;21/09/2015;;NORMAL;VALUE
28;8901038806;0.61;3.11;5.08;9.04;6.49;19.8;4;941.7;0.52;365;8;39.28;55.40;50.68;0.75;3.15;5.07;9.09;9.40;0.72;2.90;9.85;;1;12:02:13;21/09/2015;;NORMAL;VALUE
29;8901038807;1.30;3.21;4.85;8.84;6.41;14.7;10;1013.0;0.62;366;9;39.17;57.04;52.31;1.40;3.26;4.85;8.94;10.07;1.40;3.02;10.34;;1;12:02:23;21/09/2015;;NORMAL;VALUE
30;8901038808;0.92;3.32;4.60;8.86;6.41;12.8;1600;1023.5;0.63;367;10;39.11;54.86;50.13;1.06;3.29;4.59;8.82;9.57;1.05;3.03;9.85;;1;12:02:33;21/09/2015;;NORMAL;VALUE
31;8901038809;2.04;3.13;4.69;8.66;6.45;18.2;1220;944.4;0.64;368;1;39.09;54.86;50.13;2.17;3.14;4.65;8.69;10.56;2.11;2.87;10.82;;1;12:03:06;21/09/2015;;NORMAL;VALUE
32;8901038810;1.99;3.53;4.55;8.98;6.36;19.3;2335;977.2;0.65;369;2;40.26;56.67;51.95;2.11;3.52;4.50;9.07;10.85;2.05;3.26;11.10;;1;12:03:15;21/09/2015;;NORMAL;VALUE
33;8901038811;0.90;2.95;4.87;8.72;6.43;6.9;23;919.4;0.60;370;3;40.57;57.04;52.31;1.05;2.91;4.85;8.71;9.40;1.02;2.68;9.73;;1;12:03:25;21/09/2015;;NORMAL;VALUE
34;8901038812;0.69;3.02;4.81;8.67;6.42;24.4;13;954.8;0.60;371;4;40.89;62.85;58.13;0.86;3.04;4.78;8.71;9.18;0.81;2.76;9.53;;1;12:03:35;21/09/2015;;NORMAL;VALUE
35;8901038813;1.15;3.46;4.60;8.87;6.42;9.7;545;1044.2;0.65;372;5;40.88;57.22;52.50;1.27;3.49;4.60;8.96;9.98;1.25;3.24;10.24;;1;12:03:44;21/09/2015;;NORMAL;VALUE
36;8901038786;3.95;3.49;4.07;8.32;6.47;29.2;996;1155.6;0.82;373;6;40.68;56.86;52.13;3.96;3.51;3.96;8.41;12.31;3.91;3.21;12.33;;1;12:03:54;21/09/2015;;NORMAL;VALUE
37;8901038787;4.31;3.72;4.65;9.32;6.60;33.8;376;888.7;0.57;374;7;40.52;58.49;53.77;4.29;3.75;4.69;9.33;13.33;4.22;3.49;13.68;;1;12:04:04;21/09/2015;;NORMAL;VALUE
38;8901038788;2.87;3.60;4.48;9.04;6.55;34.4;711;1016.4;0.62;375;8;40.47;58.67;53.95;2.93;3.62;4.50;9.03;11.71;2.90;3.35;11.98;;1;12:04:14;21/09/2015;;NORMAL;VALUE
39;8901038789;1.10;3.26;4.19;8.40;6.49;25.8;339;1218.1;0.74;376;9;40.75;59.40;54.68;1.21;3.24;4.12;8.26;9.30;1.21;2.96;9.57;;1;12:04:23;21/09/2015;;NORMAL;VALUE
40;8901038790;1.08;3.57;4.10;8.58;6.49;31.6;284;1209.6;0.73;377;10;40.67;52.31;47.59;1.16;3.61;4.08;8.50;9.54;1.18;3.30;9.79;;1;12:04:33;21/09/2015;;NORMAL;VALUE
41;8901038791;1.78;3.49;4.62;9.01;6.51;42.1;426;1083.6;0.60;378;1;39.61;54.86;50.13;1.89;3.54;4.61;9.04;10.62;1.86;3.26;10.93;;1;12:04:43;21/09/2015;;NORMAL;VALUE
42;8901038792;0.40;3.41;4.96;9.24;6.54;51.1;17;1002.1;0.48;379;2;39.63;56.13;51.41;0.56;3.47;4.96;9.25;9.34;0.53;3.19;9.83;;1;12:04:53;21/09/2015;;NORMAL;VALUE
43;8901038793;3.94;4.74;4.15;9.81;6.55;33.1;249;1075.3;0.70;380;3;39.42;61.40;56.67;3.92;4.81;4.22;9.88;13.56;3.87;4.52;13.88;;1;12:05:02;21/09/2015;;NORMAL;VALUE
